# EPA eGRID2023 Revision 2 PLNT23 extract. 17 USC 105.
# Official plant population, all 27 eGRID subregions.
# Columns: orispl, subregion, net_gen_mwh (PLNGENAN), co2_tons (PLCO2AN).
# Blank PLCO2AN stored as 0 so zero-carbon plants stay in the denominator.
# Negative PLNGENAN kept (Rev 2 correction). Plants with blank PLNGENAN omitted.
# Source: egrid2023_data_rev2.xlsx PLNT23, released 2025-06-12.
orispl,subregion,net_gen_mwh,co2_tons
180,CAMX,3129,0
214,CAMX,2524,0
215,CAMX,7241,0
217,CAMX,184360,0
218,CAMX,489703,0
219,CAMX,227786,0
220,CAMX,72217,0
221,CAMX,146546,0
222,CAMX,197944.001,0
223,CAMX,434023,0
225,CAMX,43492,0
227,CAMX,34108,0
229,CAMX,1680,0
231,CAMX,121710,0
232,CAMX,47198,0
233,CAMX,10203,0
235,CAMX,88194.001,0
236,CAMX,271031,0
237,CAMX,112054,0
238,CAMX,100957,0
239,CAMX,393529,0
240,CAMX,499693,0
241,CAMX,0,0
243,CAMX,22767,0
244,CAMX,6946,0
246,CAMX,425970,217746.08
249,CAMX,390129,0
253,CAMX,0,0
254,CAMX,206654,0
258,CAMX,11694,0
260,CAMX,5336838,2232029.142
261,CAMX,17758,0
262,CAMX,73450,0
264,CAMX,6673,0
265,CAMX,195269,0
266,CAMX,345447.999,0
267,CAMX,404188,0
268,CAMX,700112.999,0
269,CAMX,256093,0
270,CAMX,274702,0
272,CAMX,648672,0
274,CAMX,0,0
275,CAMX,478926,0
276,CAMX,328,0
279,CAMX,200847,0
280,CAMX,17860,0
281,CAMX,36563,0
282,CAMX,2247,0
283,CAMX,18333,0
284,CAMX,31061,0
285,CAMX,334487,0
286,CAMX,4499612.002,199782.761
287,CAMX,245987,0
290,CAMX,1800,0
291,CAMX,81873,0
292,CAMX,64627,0
293,CAMX,16124,0
302,CAMX,296369,178692.631
315,CAMX,3302287,1666706.279
316,CAMX,0,0
317,CAMX,393801,0
318,CAMX,296174,0
319,CAMX,377227.001,0
320,CAMX,450605,0
321,CAMX,152879,0
322,CAMX,506047,0
323,CAMX,35633,0
324,CAMX,26216.001,0
325,CAMX,49822,0
326,CAMX,13702,0
327,CAMX,9624,0
330,CAMX,147297,78757.514
332,CAMX,6185,0
335,CAMX,3212590,1398861.101
336,CAMX,693,0
337,CAMX,-93,0
338,CAMX,-86,0
339,CAMX,184529,0
340,CAMX,166997,0
341,CAMX,10112,10258.93
342,CAMX,11343,0
344,CAMX,449030,0
350,CAMX,256738,180731.629
353,CAMX,35702,0
354,CAMX,21161,0
356,CAMX,256221,296011.8
357,CAMX,40402,0
358,CAMX,2552464.79,1163167.871
361,CAMX,14,0
363,CAMX,424,0
376,CAMX,181616,0
377,CAMX,32724,31205.885
380,CAMX,586820,0
381,CAMX,304671,0
382,CAMX,473895,0
391,CAMX,8980,0
392,CAMX,136341,0
393,CAMX,91032,0
394,CAMX,1288,0
396,CAMX,32154,0
397,CAMX,0,0
398,CAMX,0,0
399,CAMX,154676,96077.445
400,CAMX,2549666.998,1183756.827
401,CAMX,98886,0
402,CAMX,9202,0
403,CAMX,17740,0
404,CAMX,1357901,627403.324
407,CAMX,112194,0
408,CAMX,1509011,629011.027
409,CAMX,250621,0
410,CAMX,44028,0
412,CAMX,134674,0
413,CAMX,46717,0
414,CAMX,82660,0
415,CAMX,347749,0
416,CAMX,124850,0
417,CAMX,155030,0
418,CAMX,64970,0
419,CAMX,231554,0
422,CAMX,40910,25260.905
424,CAMX,67365,0
425,CAMX,563741,0
426,CAMX,13801,0
427,CAMX,459900,0
428,CAMX,3526,0
430,CAMX,481810,0
431,CAMX,670971,0
432,CAMX,126372,0
433,CAMX,69067,0
435,CAMX,838670.999,0
436,CAMX,1159756,0
437,CAMX,1454102.001,0
438,CAMX,294269,0
439,CAMX,538261.001,0
440,CAMX,8213,0
441,CAMX,895140,0
442,CAMX,111388,0
443,CAMX,336162.999,0
444,CAMX,69866,0
445,CAMX,1739856.998,0
446,CAMX,-86926.002,0
448,CAMX,-280710,0
450,CAMX,204328,0
451,CAMX,201667,0
454,CAMX,1695199,0
455,CAMX,276742,0
457,CAMX,2713,0
479,CAMX,7087,0
480,CAMX,4115,0
481,CAMX,5188,0
482,CAMX,1429,0
483,CAMX,0,0
484,CAMX,23123,0
487,CAMX,0,0
489,CAMX,11519,0
510,CAMX,431536,19160.214
531,CAMX,22655,0
534,CAMX,29068,0
535,CAMX,2524,1801.027
537,CAMX,58080,0
626,CAMX,0,0
632,CAMX,17253,0
682,CAMX,0,0
714,CAMX,2519,0
745,CAMX,16728,0
751,CAMX,0,0
776,CAMX,41105,0
839,CAMX,5002,0
846,CAMX,6785.001,0
905,CAMX,91319,0
4256,CAMX,-13,498.064
6013,CAMX,0,0
6099,CAMX,17718368,0
6100,CAMX,-359319.999,0
6158,CAMX,467451,0
6196,CAMX,216892,0
6211,CAMX,6031,6261.4
6449,CAMX,0,0
6479,CAMX,220191.999,0
6480,CAMX,69036.001,0
6481,CAMX,4448880,4825362.925
6612,CAMX,168188,0
6644,CAMX,3768,0
6645,CAMX,19634,0
6646,CAMX,24619,0
6647,CAMX,3868,0
6704,CAMX,29287.008,25538.002
7072,CAMX,69573,0
7129,CAMX,16452,0
7147,CAMX,10548.999,0
7151,CAMX,13472,0
7189,CAMX,23505,0
7229,CAMX,20217,0
7231,CAMX,9873,8631.964
7232,CAMX,15274,8388.921
7266,CAMX,305777,138337.496
7307,CAMX,363815,184418.958
7315,CAMX,188374.999,116798.645
7338,CAMX,1892,0
7368,CAMX,334834,14866.634
7369,CAMX,198851,8828.976
7449,CAMX,6615,3433.432
7450,CAMX,3906,4121.508
7451,CAMX,546,571.587
7452,CAMX,3992,4397.424
7489,CAMX,11060,0
7507,CAMX,3111,0
7526,CAMX,518275,0
7527,CAMX,152406,65500.318
7551,CAMX,627825,256090.766
7552,CAMX,616298,298881.322
7646,CAMX,32377.001,0
7907,CAMX,782055,0
7942,CAMX,0,0
7987,CAMX,9571,5941.543
8076,CAMX,3785,3103.463
10005,CAMX,7868,0
10026,CAMX,14356,458.089
10034,CAMX,59471,23633.985
10042,CAMX,21025.26,20510.055
10052,CAMX,0,0
10091,CAMX,168801,18020.498
10115,CAMX,27453,9268.522
10128,CAMX,2975,0
10139,CAMX,1492,0
